Date,demand
2011-01-29,25
2011-01-30,22
2011-01-31,24
2011-02-01,13
2011-02-02,9
2011-02-03,28
2011-02-04,31
2011-02-05,34
2011-02-06,14
2011-02-07,35
2011-02-08,23
2011-02-09,23
2011-02-10,19
2011-02-11,19
2011-02-12,30
2011-02-13,30
2011-02-14,19
2011-02-15,18
2011-02-16,17
2011-02-17,18
2011-02-18,15
2011-02-19,29
2011-02-20,20
2011-02-21,16
2011-02-22,22
2011-02-23,21
2011-02-24,18
2011-02-25,22
2011-02-26,11
2011-02-27,12
2011-02-28,20
2011-03-01,16
2011-03-02,21
2011-03-03,26
2011-03-04,23
2011-03-05,28
2011-03-06,15
2011-03-07,15
2011-03-08,21
2011-03-09,15
2011-03-10,16
2011-03-11,21
2011-03-12,12
2011-03-13,13
2011-03-14,17
2011-03-15,11
2011-03-16,18
2011-03-17,25
2011-03-18,18
2011-03-19,14
2011-03-20,13
2011-03-21,15
2011-03-22,14
2011-03-23,10
2011-03-24,8
2011-03-25,13
2011-03-26,15
2011-03-27,13
2011-03-28,8
2011-03-29,13
2011-03-30,13
2011-03-31,15
2011-04-01,21
2011-04-02,21
2011-04-03,23
2011-04-04,18
2011-04-05,19
2011-04-06,21
2011-04-07,12
2011-04-08,10
2011-04-09,20
2011-04-10,22
2011-04-11,20
2011-04-12,21
2011-04-13,15
2011-04-14,12
2011-04-15,9
2011-04-16,32
2011-04-17,15
2011-04-18,23
2011-04-19,10
2011-04-20,12
2011-04-21,13
2011-04-22,11
2011-04-23,18
2011-04-24,5
2011-04-25,14
2011-04-26,8
2011-04-27,11
2011-04-28,17
2011-04-29,27
2011-04-30,33
2011-05-01,17
2011-05-02,28
2011-05-03,18
2011-05-04,16
2011-05-05,31
2011-05-06,13
2011-05-07,15
2011-05-08,17
2011-05-09,21
2011-05-10,9
2011-05-11,14
2011-05-12,21
2011-05-13,18
2011-05-14,10
2011-05-15,15
2011-05-16,9
2011-05-17,20
2011-05-18,19
2011-05-19,14
2011-05-20,16
2011-05-21,15
2011-05-22,9
2011-05-23,20
2011-05-24,15
2011-05-25,10
2011-05-26,8
2011-05-27,13
2011-05-28,23
2011-05-29,12
2011-05-30,18
2011-05-31,7
2011-06-01,26
2011-06-02,12
2011-06-03,24
2011-06-04,22
2011-06-05,27
2011-06-06,19
2011-06-07,28
2011-06-08,18
2011-06-09,9
2011-06-10,20
2011-06-11,22
2011-06-12,17
2011-06-13,17
2011-06-14,15
2011-06-15,11
2011-06-16,18
2011-06-17,19
2011-06-18,21
2011-06-19,3
2011-06-20,10
2011-06-21,5
2011-06-22,15
2011-06-23,10
2011-06-24,17
2011-06-25,15
2011-06-26,10
2011-06-27,12
2011-06-28,8
2011-06-29,12
2011-06-30,21
2011-07-01,29
2011-07-02,23
2011-07-03,24
2011-07-04,20
2011-07-05,15
2011-07-06,16
2011-07-07,14
2011-07-08,20
2011-07-09,23
2011-07-10,19
2011-07-11,18
2011-07-12,11
2011-07-13,11
2011-07-14,16
2011-07-15,13
2011-07-16,22
2011-07-17,17
2011-07-18,18
2011-07-19,23
2011-07-20,14
2011-07-21,21
2011-07-22,15
2011-07-23,24
2011-07-24,10
2011-07-25,15
2011-07-26,16
2011-07-27,8
2011-07-28,12
2011-07-29,9
2011-07-30,18
2011-07-31,34
2011-08-01,14
2011-08-02,13
2011-08-03,16
2011-08-04,27
2011-08-05,19
2011-08-06,22
2011-08-07,15
2011-08-08,17
2011-08-09,20
2011-08-10,18
2011-08-11,21
2011-08-12,25
2011-08-13,21
2011-08-14,13
2011-08-15,22
2011-08-16,20
2011-08-17,11
2011-08-18,3
2011-08-19,34
2011-08-20,16
2011-08-21,17
2011-08-22,14
2011-08-23,17
2011-08-24,26
2011-08-25,13
2011-08-26,23
2011-08-27,28
2011-08-28,15
2011-08-29,20
2011-08-30,18
2011-08-31,26
2011-09-01,35
2011-09-02,31
2011-09-03,27
2011-09-04,18
2011-09-05,27
2011-09-06,30
2011-09-07,20
2011-09-08,28
2011-09-09,35
2011-09-10,28
