Date,demand
2011-01-29,56
2011-01-30,55
2011-01-31,45
2011-02-01,57
2011-02-02,54
2011-02-03,67
2011-02-04,46
2011-02-05,97
2011-02-06,76
2011-02-07,67
2011-02-08,70
2011-02-09,64
2011-02-10,62
2011-02-11,81
2011-02-12,93
2011-02-13,110
2011-02-14,63
2011-02-15,52
2011-02-16,46
2011-02-17,54
2011-02-18,51
2011-02-19,64
2011-02-20,81
2011-02-21,61
2011-02-22,52
2011-02-23,33
2011-02-24,45
2011-02-25,59
2011-02-26,78
2011-02-27,53
2011-02-28,40
2011-03-01,56
2011-03-02,50
2011-03-03,59
2011-03-04,55
2011-03-05,96
2011-03-06,98
2011-03-07,63
2011-03-08,75
2011-03-09,55
2011-03-10,64
2011-03-11,48
2011-03-12,72
2011-03-13,64
2011-03-14,67
2011-03-15,55
2011-03-16,42
2011-03-17,63
2011-03-18,56
2011-03-19,58
2011-03-20,78
2011-03-21,45
2011-03-22,51
2011-03-23,44
2011-03-24,45
2011-03-25,45
2011-03-26,58
2011-03-27,59
2011-03-28,61
2011-03-29,43
2011-03-30,60
2011-03-31,54
2011-04-01,72
2011-04-02,84
2011-04-03,84
2011-04-04,99
2011-04-05,55
2011-04-06,57
2011-04-07,46
2011-04-08,42
2011-04-09,73
2011-04-10,80
2011-04-11,66
2011-04-12,58
2011-04-13,50
2011-04-14,42
2011-04-15,66
2011-04-16,86
2011-04-17,96
2011-04-18,45
2011-04-19,56
2011-04-20,59
2011-04-21,48
2011-04-22,57
2011-04-23,86
2011-04-24,98
2011-04-25,47
2011-04-26,45
2011-04-27,55
2011-04-28,30
2011-04-29,59
2011-04-30,67
2011-05-01,87
2011-05-02,73
2011-05-03,64
2011-05-04,58
2011-05-05,66
2011-05-06,61
2011-05-07,66
2011-05-08,62
2011-05-09,67
2011-05-10,67
2011-05-11,60
2011-05-12,61
2011-05-13,67
2011-05-14,60
2011-05-15,56
2011-05-16,46
2011-05-17,39
2011-05-18,55
2011-05-19,52
2011-05-20,61
2011-05-21,76
2011-05-22,71
2011-05-23,75
2011-05-24,66
2011-05-25,58
2011-05-26,49
2011-05-27,56
2011-05-28,56
2011-05-29,66
2011-05-30,73
2011-05-31,45
2011-06-01,67
2011-06-02,59
2011-06-03,55
2011-06-04,74
2011-06-05,78
2011-06-06,70
2011-06-07,72
2011-06-08,67
2011-06-09,78
2011-06-10,75
2011-06-11,69
2011-06-12,63
2011-06-13,61
2011-06-14,59
2011-06-15,86
2011-06-16,47
2011-06-17,71
2011-06-18,68
2011-06-19,81
2011-06-20,89
2011-06-21,83
2011-06-22,57
2011-06-23,49
2011-06-24,55
2011-06-25,66
2011-06-26,70
2011-06-27,39
2011-06-28,42
2011-06-29,45
2011-06-30,40
2011-07-01,104
2011-07-02,78
2011-07-03,61
2011-07-04,77
2011-07-05,71
2011-07-06,65
2011-07-07,71
2011-07-08,62
2011-07-09,101
2011-07-10,70
2011-07-11,48
2011-07-12,53
2011-07-13,52
2011-07-14,52
2011-07-15,59
2011-07-16,80
2011-07-17,77
2011-07-18,64
2011-07-19,65
2011-07-20,82
2011-07-21,74
2011-07-22,75
2011-07-23,73
2011-07-24,81
2011-07-25,56
2011-07-26,59
2011-07-27,57
2011-07-28,60
2011-07-29,52
2011-07-30,86
2011-07-31,67
2011-08-01,74
2011-08-02,61
2011-08-03,74
2011-08-04,64
2011-08-05,68
2011-08-06,91
2011-08-07,108
2011-08-08,98
2011-08-09,92
2011-08-10,83
2011-08-11,64
2011-08-12,84
2011-08-13,107
2011-08-14,114
2011-08-15,89
2011-08-16,87
2011-08-17,67
2011-08-18,67
2011-08-19,70
2011-08-20,95
2011-08-21,84
2011-08-22,91
2011-08-23,73
2011-08-24,59
2011-08-25,56
2011-08-26,60
2011-08-27,87
2011-08-28,86
2011-08-29,52
2011-08-30,52
2011-08-31,53
2011-09-01,69
2011-09-02,85
2011-09-03,94
2011-09-04,73
2011-09-05,89
2011-09-06,69
2011-09-07,62
2011-09-08,66
2011-09-09,89
2011-09-10,98
2011-09-11,96
2011-09-12,53
2011-09-13,58
2011-09-14,57
2011-09-15,42
2011-09-16,50
2011-09-17,71
2011-09-18,100
2011-09-19,66
2011-09-20,81
2011-09-21,65
2011-09-22,37
2011-09-23,54
2011-09-24,75
2011-09-25,70
2011-09-26,68
2011-09-27,66
2011-09-28,56
2011-09-29,42
2011-09-30,56
2011-10-01,80
2011-10-02,99
2011-10-03,73
2011-10-04,69
2011-10-05,60
2011-10-06,63
2011-10-07,83
2011-10-08,68
2011-10-09,112
2011-10-10,79
2011-10-11,78
2011-10-12,82
2011-10-13,65
2011-10-14,86
2011-10-15,61
2011-10-16,92
2011-10-17,79
2011-10-18,58
2011-10-19,62
2011-10-20,37
2011-10-21,56
2011-10-22,77
2011-10-23,88
2011-10-24,43
2011-10-25,55
2011-10-26,54
2011-10-27,53
2011-10-28,68
2011-10-29,99
2011-10-30,80
2011-10-31,45
2011-11-01,82
2011-11-02,65
2011-11-03,65
2011-11-04,62
2011-11-05,60
2011-11-06,78
2011-11-07,55
2011-11-08,48
2011-11-09,59
2011-11-10,69
2011-11-11,71
2011-11-12,72
2011-11-13,76
2011-11-14,47
2011-11-15,65
2011-11-16,56
2011-11-17,49
2011-11-18,69
2011-11-19,82
2011-11-20,86
2011-11-21,66
2011-11-22,77
2011-11-23,61
2011-11-24,86
2011-11-25,151
2011-11-26,74
2011-11-27,80
2011-11-28,70
2011-11-29,50
2011-11-30,49
2011-12-01,75
2011-12-02,68
2011-12-03,98
2011-12-04,115
2011-12-05,78
2011-12-06,78
2011-12-07,57
2011-12-08,70
2011-12-09,79
2011-12-10,106
2011-12-11,96
2011-12-12,78
2011-12-13,64
2011-12-14,65
2011-12-15,58
2011-12-16,78
2011-12-17,84
2011-12-18,92
2011-12-19,67
2011-12-20,77
2011-12-21,69
2011-12-22,98
2011-12-23,103
2011-12-24,86
2011-12-25,0
2011-12-26,82
2011-12-27,75
2011-12-28,58
2011-12-29,63
2011-12-30,89
2011-12-31,63
2012-01-01,49
2012-01-02,67
2012-01-03,58
2012-01-04,59
2012-01-05,55
2012-01-06,63
2012-01-07,70
2012-01-08,89
2012-01-09,59
2012-01-10,54
2012-01-11,48
2012-01-12,43
2012-01-13,49
2012-01-14,76
2012-01-15,101
2012-01-16,64
2012-01-17,61
2012-01-18,44
2012-01-19,43
2012-01-20,60
2012-01-21,65
2012-01-22,68
2012-01-23,51
2012-01-24,48
2012-01-25,46
2012-01-26,40
2012-01-27,50
2012-01-28,49
2012-01-29,62
2012-01-30,42
2012-01-31,37
2012-02-01,60
2012-02-02,58
2012-02-03,58
2012-02-04,72
2012-02-05,90
2012-02-06,76
2012-02-07,45
2012-02-08,53
2012-02-09,74
2012-02-10,55
2012-02-11,67
2012-02-12,69
2012-02-13,54
2012-02-14,49
2012-02-15,52
2012-02-16,58
2012-02-17,26
2012-02-18,70
2012-02-19,85
2012-02-20,73
2012-02-21,55
2012-02-22,54
2012-02-23,43
2012-02-24,73
2012-02-25,61
2012-02-26,69
2012-02-27,53
2012-02-28,53
2012-02-29,52
2012-03-01,63
2012-03-02,72
2012-03-03,82
2012-03-04,83
2012-03-05,81
2012-03-06,48
2012-03-07,68
2012-03-08,77
2012-03-09,70
2012-03-10,63
2012-03-11,72
2012-03-12,54
2012-03-13,47
2012-03-14,54
2012-03-15,59
2012-03-16,47
2012-03-17,67
2012-03-18,67
2012-03-19,50
2012-03-20,54
2012-03-21,51
2012-03-22,49
2012-03-23,53
2012-03-24,62
2012-03-25,62
2012-03-26,52
2012-03-27,23
2012-03-28,52
2012-03-29,57
2012-03-30,65
2012-03-31,72
2012-04-01,77
2012-04-02,76
2012-04-03,68
2012-04-04,66
2012-04-05,56
2012-04-06,60
2012-04-07,87
2012-04-08,77
2012-04-09,67
2012-04-10,46
2012-04-11,53
2012-04-12,46
2012-04-13,63
2012-04-14,75
2012-04-15,62
2012-04-16,55
2012-04-17,48
2012-04-18,49
2012-04-19,51
2012-04-20,62
2012-04-21,95
2012-04-22,56
2012-04-23,55
2012-04-24,56
2012-04-25,61
2012-04-26,42
2012-04-27,37
2012-04-28,70
2012-04-29,77
2012-04-30,56
2012-05-01,55
2012-05-02,55
2012-05-03,74
2012-05-04,65
2012-05-05,75
2012-05-06,78
2012-05-07,82
2012-05-08,88
2012-05-09,60
2012-05-10,67
2012-05-11,56
2012-05-12,79
2012-05-13,65
2012-05-14,55
2012-05-15,56
2012-05-16,50
2012-05-17,37
2012-05-18,64
2012-05-19,73
2012-05-20,69
2012-05-21,58
2012-05-22,45
2012-05-23,38
2012-05-24,51
2012-05-25,58
2012-05-26,59
2012-05-27,65
2012-05-28,69
2012-05-29,40
2012-05-30,64
2012-05-31,49
2012-06-01,71
2012-06-02,65
2012-06-03,76
2012-06-04,49
2012-06-05,51
2012-06-06,69
2012-06-07,62
2012-06-08,49
2012-06-09,100
2012-06-10,96
2012-06-11,79
2012-06-12,57
2012-06-13,54
2012-06-14,56
