date,quantity
2011-01-29,274
2011-01-30,268
2011-01-31,153
2011-02-01,188
2011-02-02,154
2011-02-03,211
2011-02-04,204
2011-02-05,299
2011-02-06,276
2011-02-07,224
2011-02-08,184
2011-02-09,186
2011-02-10,157
2011-02-11,251
2011-02-12,347
2011-02-13,332
2011-02-14,217
2011-02-15,246
2011-02-16,182
2011-02-17,187
2011-02-18,248
2011-02-19,304
2011-02-20,272
2011-02-21,172
2011-02-22,212
2011-02-23,205
2011-02-24,190
2011-02-25,233
2011-02-26,305
2011-02-27,297
2011-02-28,168
2011-03-01,242
2011-03-02,208
2011-03-03,203
2011-03-04,250
2011-03-05,300
2011-03-06,313
2011-03-07,225
2011-03-08,206
2011-03-09,196
2011-03-10,226
2011-03-11,234
2011-03-12,345
2011-03-13,296
2011-03-14,200
2011-03-15,257
2011-03-16,209
2011-03-17,229
2011-03-18,228
2011-03-19,293
2011-03-20,344
2011-03-21,207
2011-03-22,214
2011-03-23,224
2011-03-24,208
2011-03-25,221
2011-03-26,268
2011-03-27,271
2011-03-28,183
2011-03-29,170
2011-03-30,175
2011-03-31,229
2011-04-01,262
2011-04-02,312
2011-04-03,283
2011-04-04,185
2011-04-05,205
2011-04-06,224
2011-04-07,172
2011-04-08,224
2011-04-09,303
2011-04-10,333
2011-04-11,246
2011-04-12,211
2011-04-13,240
2011-04-14,202
2011-04-15,240
2011-04-16,289
2011-04-17,303
2011-04-18,215
2011-04-19,223
2011-04-20,242
2011-04-21,213
2011-04-22,311
2011-04-23,339
2011-04-24,318
2011-04-25,217
2011-04-26,169
2011-04-27,199
2011-04-28,193
2011-04-29,248
2011-04-30,297
2011-05-01,301
2011-05-02,227
2011-05-03,231
2011-05-04,191
2011-05-05,228
2011-05-06,272
2011-05-07,313
2011-05-08,361
2011-05-09,236
2011-05-10,200
2011-05-11,193
2011-05-12,224
2011-05-13,292
2011-05-14,275
2011-05-15,282
2011-05-16,193
2011-05-17,213
2011-05-18,160
2011-05-19,199
2011-05-20,258
2011-05-21,311
2011-05-22,303
2011-05-23,243
2011-05-24,219
2011-05-25,221
2011-05-26,253
2011-05-27,265
2011-05-28,295
2011-05-29,250
2011-05-30,274
2011-05-31,192
2011-06-01,278
2011-06-02,261
2011-06-03,373
2011-06-04,319
2011-06-05,330
2011-06-06,231
2011-06-07,287
2011-06-08,222
2011-06-09,246
2011-06-10,229
2011-06-11,307
2011-06-12,301
2011-06-13,260
2011-06-14,256
2011-06-15,255
2011-06-16,247
2011-06-17,305
2011-06-18,361
2011-06-19,359
2011-06-20,203
2011-06-21,233
2011-06-22,192
2011-06-23,221
2011-06-24,242
2011-06-25,285
2011-06-26,280
2011-06-27,219
2011-06-28,219
2011-06-29,208
2011-06-30,251
2011-07-01,381
2011-07-02,339
2011-07-03,320
2011-07-04,246
2011-07-05,212
2011-07-06,214
2011-07-07,221
2011-07-08,293
2011-07-09,386
2011-07-10,339
2011-07-11,243
2011-07-12,235
2011-07-13,220
2011-07-14,257
2011-07-15,298
2011-07-16,304
2011-07-17,303
2011-07-18,254
2011-07-19,170
2011-07-20,224
2011-07-21,248
2011-07-22,280
2011-07-23,314
2011-07-24,310
2011-07-25,224
2011-07-26,223
2011-07-27,185
2011-07-28,187
2011-07-29,253
2011-07-30,355
2011-07-31,343
2011-08-01,287
2011-08-02,253
2011-08-03,286
2011-08-04,284
2011-08-05,358
2011-08-06,391
2011-08-07,403
2011-08-08,270
2011-08-09,283
2011-08-10,268
2011-08-11,273
2011-08-12,379
2011-08-13,410
2011-08-14,412
2011-08-15,327
2011-08-16,301
2011-08-17,307
2011-08-18,301
2011-08-19,400
2011-08-20,439
2011-08-21,481
2011-08-22,319
2011-08-23,311
2011-08-24,266
2011-08-25,234
2011-08-26,333
2011-08-27,363
2011-08-28,422
2011-08-29,274
2011-08-30,219
2011-08-31,248
2011-09-01,339
2011-09-02,407
2011-09-03,433
2011-09-04,246
2011-09-05,283
2011-09-06,213
2011-09-07,264
2011-09-08,230
2011-09-09,325
2011-09-10,325
2011-09-11,416
2011-09-12,330
2011-09-13,267
2011-09-14,251
2011-09-15,300
2011-09-16,339
2011-09-17,346
2011-09-18,320
2011-09-19,252
2011-09-20,227
2011-09-21,230
2011-09-22,256
2011-09-23,278
2011-09-24,380
2011-09-25,357
2011-09-26,241
2011-09-27,231
2011-09-28,220
2011-09-29,244
2011-09-30,315
2011-10-01,384
2011-10-02,357
2011-10-03,257
2011-10-04,237
2011-10-05,292
2011-10-06,291
2011-10-07,314
2011-10-08,313
2011-10-09,335
2011-10-10,240
2011-10-11,239
2011-10-12,247
2011-10-13,285
2011-10-14,343
2011-10-15,440
2011-10-16,377
2011-10-17,280
2011-10-18,221
2011-10-19,210
2011-10-20,255
2011-10-21,299
2011-10-22,347
2011-10-23,349
2011-10-24,285
2011-10-25,236
2011-10-26,228
2011-10-27,277
2011-10-28,298
2011-10-29,350
2011-10-30,353
2011-10-31,220
2011-11-01,277
2011-11-02,229
2011-11-03,285
2011-11-04,331
2011-11-05,357
2011-11-06,377
2011-11-07,248
2011-11-08,238
2011-11-09,251
2011-11-10,232
2011-11-11,285
2011-11-12,369
2011-11-13,400
2011-11-14,264
2011-11-15,274
2011-11-16,257
2011-11-17,215
2011-11-18,302
2011-11-19,352
2011-11-20,353
2011-11-21,279
2011-11-22,247
2011-11-23,273
2011-11-24,399
2011-11-25,556
2011-11-26,267
2011-11-27,256
2011-11-28,229
2011-11-29,222
2011-11-30,224
2011-12-01,252
2011-12-02,299
2011-12-03,356
2011-12-04,323
2011-12-05,258
2011-12-06,230
2011-12-07,237
2011-12-08,261
2011-12-09,293
2011-12-10,307
2011-12-11,367
2011-12-12,268
2011-12-13,257
2011-12-14,311
2011-12-15,302
2011-12-16,291
2011-12-17,385
2011-12-18,367
2011-12-19,298
2011-12-20,313
2011-12-21,311
2011-12-22,376
2011-12-23,510
2011-12-24,365
2011-12-25,0
2011-12-26,302
2011-12-27,235
